,x_term,x_term_trans,y_term_proukraine,y_term_prorussia,x_final,y_proU_final,y_proR_final,cluster
S221U,-1.0,0.0,0.0,0.8957382208653601,0.0,0.0,0.6719271973136361,1
S222U,-1.0,0.0,0.0,0.5157094868861706,0.0,0.0,0.5052380280890063,1
S223U,-1.0,0.0,0.0,0.6660920616519285,0.0,0.0,0.5572941203947271,1
S224U,-1.0,0.0,0.0,0.955195081976895,0.0,0.0,0.7349464765010412,1
S225U,-0.9732950292974,0.013352485351300014,1.0,0.5606797366587327,0.19244458481581392,1.0,0.5203155748814042,2
S226U,-1.0,0.0,0.0,0.56528667444309,0.0,0.0,0.5218732138966722,1
S227U,-1.0,0.0,0.0,0.5566392966112228,0.0,0.0,0.518952064226033,1
S228U,-0.9304703530051922,0.034764823497403896,1.0,0.44727914784042155,0.2482585122652412,1.0,0.48236813118229305,2
S229U,-1.0,0.0,0.0,0.4624754055707645,0.0,0.0,0.4874708619390127,1
S230U,-1.0,0.0,0.0,0.6177354593594955,0.0,0.0,0.5399105310436948,1
S231U,-1.0,0.0,0.0,0.5085197529777475,0.0,0.0,0.5028401620113231,1
S232U,-1.0,0.0,0.0,0.5727690935516228,0.0,0.0,0.5244104138468201,1
S233U,-1.0,0.0,0.0,0.8915237138666192,0.0,0.0,0.6686606229491994,1
S234U,-1.0,0.0,0.0,0.4844316692974123,0.0,0.0,0.49480906492611587,1
S235U,-1.0,0.0,0.0,0.4947334714661682,0.0,0.0,0.4982444327768651,1
S236U,-1.0,0.0,0.0,0.7995965339804055,0.0,0.0,0.6133126139420991,1
S237U,-1.0,0.0,0.0,0.6711163463895109,0.0,0.0,0.559158149880888,1
S238U,-1.0,0.0,0.0,0.9056138353694831,0.0,0.0,0.6799929697733119,1
S239U,-0.9632470461368612,0.018376476931569408,1.0,0.5853102948958404,0.20981424164074824,1.0,0.5286860955475416,2
S240U,-1.0,0.0,0.0,0.5479047685952485,0.0,0.0,0.516011910201275,1
S241U,-1.0,0.0,0.0,0.6426224221659119,0.0,0.0,0.5487417550229379,1
S242U,-1.0,0.0,0.0,0.43555357184332233,0.0,0.0,0.4784111248139806,1
S243U,-1.0,0.0,0.0,0.6284402144076988,0.0,0.0,0.5436826095707318,1
S244U,-1.0,0.0,0.0,0.986664534564971,0.0,0.0,0.8076223736798045,1
S245U,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
S246U,-1.0,0.0,0.0,0.4837915407362944,0.0,0.0,0.4945954970140795,1
S247U,-1.0,0.0,0.0,0.5786622906674261,0.0,0.0,0.5264157461972381,1
S248U,-1.0,0.0,0.0,0.9225509595408768,0.0,0.0,0.695474773961091,1
S249U,-1.0,0.0,0.0,0.9012204348900787,0.0,0.0,0.6763292117767377,1
S250U,-0.9806761778406373,0.00966191107968134,1.0,0.8293832134490773,0.17605824335728562,1.0,0.6288035447414705,2
S251U,-1.0,0.0,0.0,0.5677207496454779,0.0,0.0,0.5226975452770951,1
S252U,-1.0,0.0,0.0,0.47664694607669866,0.0,0.0,0.4922106111025288,1
S253U,-1.0,0.0,0.0,0.6827619798417396,0.0,0.0,0.5635292771306252,1
S254U,-0.9380726110884408,0.030963694455779622,1.0,0.5976834753418487,0.24088586632945821,1.0,0.5329374112502847,2
S255U,-1.0,0.0,0.0,0.47438118825319653,0.0,0.0,0.4914537437207195,1
S256U,-1.0,0.0,0.0,0.8563318467892924,0.0,0.0,0.6445231487404579,1
S257U,-0.9171634471863878,0.04141827640680612,1.0,0.41918338329151794,0.25975464247922864,1.0,0.4728495175662033,2
S258U,-0.9458143019082971,0.027092849045851464,1.0,0.5204494065789067,0.23260267635703974,1.0,0.5068198503716886,2
S259U,-1.0,0.0,0.0,0.4978205607105475,0.0,0.0,0.4992735161470322,1
S260U,-1.0,0.0,0.0,0.4273507579552236,0.0,0.0,0.4756303026035669,1
S261U,-0.7821635244022488,0.1089182377988756,0.7557809497117844,0.38687524373266213,0.3316763540976918,0.5930436335019585,0.46170297650098696,2
S262U,-1.0,0.0,0.0,0.7947178074619028,0.0,0.0,0.6109246265070416,1
S263U,-0.9471732261103161,0.026413386944841966,1.0,0.4783955551782233,0.2310535298225856,1.0,0.49279453048514615,2
S264U,-1.0,0.0,0.0,0.9818598663689763,0.0,0.0,0.7909135050044053,1
S265U,-1.0,0.0,0.0,0.4231144965672472,0.0,0.0,0.4741895465285018,1
S266U,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
S267U,-0.9519479939417421,0.02402600302912894,1.0,0.5211988942756567,0.2253482808466663,1.0,0.507070065464741,2
S268U,-1.0,0.0,0.0,0.6675001286954186,0.0,0.0,0.5578152508586984,1
S269U,-1.0,0.0,0.0,0.5131829468878764,0.0,0.0,0.5043952210913101,1
S270U,-1.0,0.0,0.0,0.6108396685681488,0.0,0.0,0.5374997087795863,1
S271U,-0.9040295970041281,0.04798520149793595,1.0,0.49934682694166777,0.26974908686547316,1.0,0.49978227553713206,2
S272U,-0.9708833189198461,0.01455834054007693,1.0,0.5188539237077363,0.1970277952211176,1.0,0.5062872910380928,2
S273U,-0.868893470417655,0.06555326479117252,0.723565409056325,0.542654760382616,0.2919985709233347,0.5795043184966341,0.514249037704925,2
S274U,-0.9274628170011899,0.036268591499405034,1.0,0.7356106780138809,0.2509998507308827,1.0,0.5844559435546152,2
S275U,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
S276U,-1.0,0.0,0.0,0.8996537762115241,0.0,0.0,0.6750527228420268,1
S277U,-1.0,0.0,0.0,0.3982531855822552,0.0,0.0,0.4656584178362737,1
S278U,-1.0,0.0,0.0,0.8077672131095244,0.0,0.0,0.6173988724471925,1
S279U,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
S280U,-1.0,0.0,0.0,0.7692157049658204,0.0,0.0,0.5989989937108692,1
S281U,-0.8961563493960539,0.051921825301973035,0.6989700043360187,0.39609949044822035,0.27523292705013597,0.569742173380174,0.4649124303765704,2
S282U,-0.8396712741009714,0.08016436294951429,0.723565409056325,0.6188695278180842,0.3071724134131485,0.5795043184966341,0.5403083946147911,2
S283U,-0.9572673136191232,0.021366343190438397,1.0,0.675481549655882,0.21844006828723303,1.0,0.5607881047073848,2
S284U,-0.8659702038319641,0.06701489808401795,1.0,0.3478691288838811,0.2936287448773514,1.0,0.44782240853187155,2
S285U,-1.0,0.0,0.0,0.5464440390429606,0.0,0.0,0.515521115270031,1
S286U,-0.8649637971978724,0.06751810140106379,1.0,0.794002118150573,0.2941835477837047,1.0,0.6105774340606269,2
S287U,-0.8999990569896765,0.05000047150516174,0.6989700043360187,0.5917060405699421,0.2725989416050392,0.569742173380174,0.5308791973616407,2
S288U,-0.9327784552416931,0.03361077237915344,1.0,0.5296352873179133,0.24609043082016732,1.0,0.5098887315714166,2
S289U,-0.8967249154283645,0.05163754228581774,1.0,0.4877512787539585,0.27484809397194526,1.0,0.4959163666748475,2
S290U,-0.9449620649167909,0.027518967541604544,1.0,0.45142770342681793,0.2335586375083878,1.0,0.4837637234772463,2
S291U,-0.9694111473022936,0.015294426348853196,1.0,0.5830847145734357,0.1996817297736323,1.0,0.5279250302736272,2
S292U,-1.0,0.0,0.0,0.44207619650478625,0.0,0.0,0.48061470993021593,1
S293U,-0.9543935240581738,0.022803237970913104,1.0,0.4459391238307765,0.22225122729767938,1.0,0.481916880710658,2
S294U,-0.8989330363878758,0.0505334818060621,0.6989700043360187,0.5859541957286376,0.27333752442527953,0.569742173380174,0.5289064815268356,2
S295U,-1.0,0.0,0.0,0.7752638561885787,0.0,0.0,0.6017492033733784,1
S296U,-1.0,0.0,0.0,0.5533757370074034,0.0,0.0,0.5178523710143266,1
S297U,-1.0,0.0,0.0,0.644377047567968,0.0,0.0,0.5493729950732982,1
S298U,-1.0,0.0,0.0,0.6092343247300464,0.0,0.0,0.5369404737106772,1
S299U,-0.9446715149620454,0.02766424251897731,1.0,0.5017940552070297,0.2338818800561522,1.0,0.5005980206836068,2
S300U,-1.0,0.0,0.0,0.8229875715578443,0.0,0.0,0.6253315257364352,1
S301U,-0.9452493419264658,0.027375329036767093,1.0,0.6374963973590646,0.2332377096679593,1.0,0.5469045312088802,2
S302U,-0.9223804888736258,0.03880975556318711,1.0,0.5522072561171243,0.25543473601065014,1.0,0.5174589774127679,2
S303U,-0.9422220398298662,0.028888980085066907,1.0,0.4157478116906105,0.23655502721778032,1.0,0.47167586739702266,2
S304U,-1.0,0.0,0.0,0.46662032516768703,0.0,0.0,0.4888587122062953,1
S305U,-1.0,0.0,0.0,0.8691563452586482,0.0,0.0,0.6527554558692754,1
S306U,-1.0,0.0,0.0,0.7296837676112685,0.0,0.0,0.5820041920370308,1
S307U,-1.0,0.0,0.0,0.5307549919963614,0.0,0.0,0.5102631806454799,1
S308U,-1.0,0.0,0.0,0.6403155900788491,0.0,0.0,0.5479137041691383,1
