,RT_war,prop_war_RTs,frequency_weeks,nb_mentors_prorussia,nb_mentors_proukraine,Betweenness_centrality,Closeness_centrality,PageRank
S281U,147,0.0055618615209988,0.7037037037037037,9.0,2.0,0.0019073734328604,0.4899038461538461,0.0004317265938141
S143U,146,0.0207622298065984,0.8518518518518519,5.0,1.0,0.0,0.4793038570084666,0.000421994309851
S413U,145,0.015628368182798,0.925925925925926,7.0,0.0,0.0018606587680862,0.3449559918754231,0.0004207546327269
S449U,144,0.0216313654799459,1.0,6.0,0.0,0.0009295132699187,0.345189701897019,0.0003948773797583
S141U,144,0.015592853275582,0.8518518518518519,6.0,0.0,0.0,0.3421759570181329,0.0004107795873934
S39U,140,0.0325505696349686,0.8148148148148148,2.0,0.0,0.0,0.3387632978723404,0.0003810267183459
S147U,139,0.0204501986170369,0.8148148148148148,8.0,0.0,0.0003364424483651,0.3458927359131025,0.000398953279054
S152U,139,0.0120138288677614,0.7407407407407407,4.0,0.0,0.0,0.3408026755852842,0.0003873609795326
S325U,138,0.0143317063038737,0.7407407407407407,5.0,0.0,0.0004843959682634,0.3449559918754231,0.0003842152754429
S285U,138,0.0050886832110328,0.8148148148148148,6.0,0.0,0.0,0.3421759570181329,0.0003969396290108
S254U,138,0.0053606805733597,0.925925925925926,8.0,1.0,0.0102860926515749,0.4396031061259706,0.0004280945212096
S472U,138,0.2005813953488372,0.925925925925926,1.0,0.0,0.0,0.3336607727570399,0.0003763079696712
S337U,137,0.0135966653433902,0.8518518518518519,7.0,0.0,0.0,0.3456580732700136,0.0004143689334387
S422U,137,0.0048895392412291,0.8518518518518519,7.0,1.0,0.0002930174762467,0.4802073515551366,0.0004153294423528
S57U,135,0.0060302854335105,0.8518518518518519,6.0,1.0,0.0029165042113085,0.4797551789077213,0.0004108057519467
S327U,134,0.0109369898792033,0.4814814814814814,3.0,0.0,0.0,0.3356389986824769,0.0003719896158365
S377U,134,0.0062424298891269,0.925925925925926,6.0,0.0,0.0,0.3424059139784946,0.0004060851218185
S458U,134,0.0061813820463142,0.8518518518518519,6.0,0.0,0.0,0.344722598105548,0.0004143647103259
S231U,133,0.0045035893268319,0.8888888888888888,7.0,0.0,0.0,0.3456580732700136,0.0004106810609671
S73U,133,0.0086223662884927,0.8518518518518519,7.0,0.0,0.0,0.3454237288135593,0.0004106519474109
S333U,133,0.0238993710691823,0.925925925925926,6.0,1.0,0.0014630351987239,0.4797551789077213,0.0003832759271226
S255U,133,0.0078922383099928,0.8148148148148148,5.0,0.0,0.0,0.3419463087248322,0.0003933883357634
S407U,133,0.0076599665956343,0.8888888888888888,6.0,0.0,0.0,0.3424059139784946,0.0003868444174605
S241U,131,0.0080506391347099,0.8148148148148148,5.0,0.0,0.0,0.3419463087248322,0.0004013809656735
S451U,131,0.0173578905525374,0.8888888888888888,7.0,0.0,0.0002977660164756,0.3456580732700136,0.000403392751775
S292U,131,0.0055877836546664,0.8148148148148148,8.0,0.0,0.0,0.3458927359131025,0.0004055789009228
S214U,130,0.0242809114680612,0.8888888888888888,7.0,0.0,0.0010567679321709,0.3454237288135593,0.0003754665247051
S338U,130,0.0040137083577757,0.9629629629629628,6.0,1.0,0.0003192545373039,0.4797551789077213,0.0004057628140794
S232U,130,0.0161050545094152,0.2962962962962963,6.0,0.0,0.0,0.3421759570181329,0.0003803788587376
S443U,129,0.0024796247885591,0.8518518518518519,8.0,2.0,0.0037746905213514,0.489433237271854,0.0004001690175969
S417U,129,0.0032646656881105,1.0,8.0,1.0,0.0007979053869061,0.4820245979186376,0.0004009188015433
S282U,128,0.0162127929069031,0.8148148148148148,6.0,2.0,0.0005606695734686,0.491321118611379,0.0003892024650631
S240U,128,0.0182544209925841,0.8518518518518519,7.0,0.0,0.0001682382320953,0.3435603506405933,0.0003931405031621
S420U,128,0.0025276960445506,0.8148148148148148,8.0,1.0,0.0074567858347253,0.4665750915750916,0.000400138866009
S356U,127,0.2304900181488203,0.7777777777777778,2.0,0.0,0.0,0.3380889183808891,0.0003587101278173
S388U,127,0.002046208874424,0.8518518518518519,5.0,0.0,0.0,0.34125920964501,0.0003967573935951
S305U,127,0.0451796513696193,0.8148148148148148,3.0,0.0,0.0,0.3383134130146082,0.0003614840333025
S405U,127,0.0076427754709032,0.7777777777777778,7.0,0.0,0.0001856333733554,0.3426361802286483,0.0003954038050362
S278U,127,0.006306172103878,0.8888888888888888,3.0,0.0,0.0,0.3405748663101604,0.0003986649872208
S154U,127,0.0085406859448554,0.8148148148148148,7.0,1.0,0.0057329864215849,0.4014972419227738,0.0003966629180272
S76U,126,0.2985781990521327,0.8148148148148148,1.0,0.0,0.0,0.3336607727570399,0.0003563732613111
S252U,126,0.0143312101910828,0.5925925925925926,6.0,0.0,0.0,0.3430976430976431,0.0003788443108914
S288U,125,0.009482627825823,0.5185185185185185,6.0,1.0,0.000215224462486,0.4802073515551366,0.0003905052629753
S366U,124,0.0244817374136229,0.6296296296296297,5.0,0.0,0.0,0.3419463087248322,0.0003628542239397
S396U,124,0.0025972937874408,0.925925925925926,7.0,1.0,0.0002930174762467,0.4802073515551366,0.0003851304859104
S351U,124,0.0039172326646659,0.925925925925926,5.0,0.0,0.0,0.3442567567567567,0.0003657019679498
S88U,124,0.0066774367259019,0.925925925925926,8.0,1.0,0.0052270510782148,0.4030854430379746,0.0003873693470593
S469U,123,0.0045139271165914,0.7037037037037037,5.0,1.0,0.0,0.4793038570084666,0.0003756678484388
S447U,122,0.0093529592149647,0.7777777777777778,8.0,0.0,0.0002400413074234,0.3458927359131025,0.0003779374546464
S112U,122,0.0086030604329736,0.8148148148148148,9.0,1.0,0.0045964034228034,0.4267169179229481,0.0003786500292404
S275U,121,0.0836791147994467,0.7037037037037037,1.0,0.0,0.0,0.3336607727570399,0.0003480671328277
S104U,121,0.005333215796897,0.8518518518518519,8.0,0.0,0.0006862659599918,0.3468345813478556,0.0003893064363161
S136U,121,0.0815363881401617,1.0,2.0,0.0,0.0,0.3380889183808891,0.0003500940552563
S401U,120,0.0191815856777493,0.925925925925926,6.0,0.0,0.0,0.345189701897019,0.0003561910252412
S473U,120,0.0030993336432666,0.8518518518518519,8.0,0.0,0.0,0.3437921727395411,0.0003861830336541
S465U,120,0.0055134390075809,0.8518518518518519,7.0,1.0,0.0010500434750088,0.4815689981096408,0.0003735727843745
S59U,120,0.0170140365801786,0.4814814814814814,8.0,1.0,0.0039982574632059,0.4021310181531176,0.0003946823091377
S228U,120,0.0043401208000289,0.8148148148148148,6.0,1.0,0.0,0.4797551789077213,0.0003754437191936
S259U,119,0.0086426029486527,0.7777777777777778,7.0,0.0,0.0001856333733554,0.3426361802286483,0.0003782561821022
S460U,119,0.0115343607637879,0.8518518518518519,5.0,0.0,0.0,0.3419463087248322,0.0003597867749995
S256U,119,0.0173242102198282,0.925925925925926,5.0,0.0,0.0002400413074234,0.3417169684775318,0.0003494556724554
S229U,117,0.0172591827703201,0.8148148148148148,7.0,0.0,0.0001975362818122,0.3463630183548606,0.000363835611879
S374U,117,0.013192017138347,0.7037037037037037,6.0,0.0,0.0002400413074234,0.3444895199459094,0.0003555668759689
S307U,116,0.0046324028593107,0.925925925925926,6.0,0.0,0.0,0.3424059139784946,0.0003623618449704
S306U,116,0.0161943319838056,0.5185185185185185,4.0,0.0,0.0,0.3408026755852842,0.0003486046182237
S490U,115,0.0499348675640468,0.8518518518518519,5.0,0.0,0.0,0.3419463087248322,0.000344472257722
S261U,115,0.0221922037823234,0.925925925925926,6.0,2.0,0.0,0.468721251149954,0.0003859834523754
S360U,115,0.0068660815571078,0.5925925925925926,6.0,0.0,0.0,0.3430976430976431,0.0003655647188323
S345U,114,0.1345926800472255,1.0,4.0,1.0,0.0053919418680101,0.4415077989601386,0.0003427131004727
S274U,114,0.0154158215010141,0.7037037037037037,6.0,1.0,0.0032331467127195,0.4806603773584905,0.0003753897572194
S445U,114,0.0028309617820159,0.8518518518518519,5.0,0.0,0.0008671495057081,0.3419463087248322,0.0003808459962101
S371U,112,0.0069882074000124,0.925925925925926,6.0,1.0,0.0002930174762467,0.4678604224058769,0.0003784120443947
S277U,112,0.0090960773166571,0.8148148148148148,7.0,0.0,0.0002400413074234,0.3456580732700136,0.0003745699865875
S411U,111,0.0058381107663177,0.925925925925926,6.0,1.0,0.0016513414544099,0.4797551789077213,0.0003719699092498
S117U,111,0.0081336557485161,0.8148148148148148,4.0,2.0,0.0017430853968402,0.4838556505223172,0.0003537073935064
S332U,110,0.0033173497391356,0.925925925925926,5.0,1.0,0.0,0.4793038570084666,0.0003707865289187
S312U,110,0.0055555555555555,0.8148148148148148,6.0,1.0,0.0017942774969864,0.4631818181818182,0.0003575017095206
S203U,108,0.0139175257731958,0.5925925925925926,7.0,0.0,0.0002401522721965,0.3454237288135593,0.0003754144146907
S251U,108,0.0145376228294521,0.5555555555555556,7.0,0.0,0.0022096583326068,0.3463630183548606,0.0003433811935765
S180U,108,0.0047993600853219,0.8518518518518519,6.0,0.0,0.0,0.3392143808255659,0.0003730350956678
S284U,107,0.0120658547586829,0.8518518518518519,8.0,1.0,0.0,0.4610859728506787,0.0003630573306925
S432U,106,0.0259358942989968,0.8518518518518519,6.0,0.0,0.001194823297585,0.3424059139784946,0.0003507460753371
S361U,105,0.0143894751267644,0.6296296296296297,5.0,0.0,0.0009924624120059,0.3419463087248322,0.0003292218050793
S302U,105,0.0122107221769973,0.8148148148148148,6.0,1.0,0.0003192545373039,0.4797551789077213,0.0003495304236766
S319U,105,0.00570559147965,0.8518518518518519,7.0,0.0,0.0,0.3426361802286483,0.0003593619267605
S320U,104,0.0030653147842489,0.8518518518518519,7.0,1.0,0.0,0.4636032757051865,0.0003518900884869
S383U,104,0.0036084799278304,0.8888888888888888,7.0,0.0,0.000426263578099,0.3456580732700136,0.0003520380434515
S373U,103,0.0067856907569668,0.6296296296296297,6.0,0.0,0.000564642659179,0.3430976430976431,0.0003483653783898
S434U,102,0.0076639867758659,0.8518518518518519,9.0,1.0,0.0018422951362008,0.4824810606060606,0.0003612564559049
