,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,cluster_kmeans
S283U,-1.0,-0.8498974794912441,-0.7027959192418134,-0.6976196139722793,-0.6398368992237482,-0.6614477132710272,-0.6809900582201529,-0.7023052496848351,-0.7244455304028601,-0.7466803503193531,-0.7716635926633537,-0.7814083391730973,-0.7883290457079524,-0.7913830320513122,-0.7994534068046614,3
S284U,-0.8030523940126586,-0.7781453883725118,-0.6443759680592616,-0.6130872131934796,-0.6282852874683479,-0.5521991251066982,-0.5885255299299701,-0.6213865354354311,-0.64704694809094,-0.6677938828574679,-0.6938557226450495,-0.7061143793118778,-0.7137311105000533,-0.7289020038548665,-0.7525504043816572,3
S287U,-0.2284859181980289,-0.2284859181980289,-0.6284859181980289,-0.6076911404827399,-0.5607756676917669,-0.5789457149277843,-0.5908169454128405,-0.6195194360851771,-0.644815242151933,-0.6496088247237171,-0.6367311459501375,-0.6224664462179693,-0.6563391672389636,-0.685903156266157,-0.7021360311398566,3
S312U,-0.5443867818973558,-0.5550283348052796,-0.5280248058913377,-0.5614851467147172,-0.585646549035104,-0.614190120941487,-0.6565902024969541,-0.6644504453584158,-0.68398203966442,-0.6982743832277551,-0.7125474738168849,-0.7304206369819771,-0.740816141889102,-0.7467200734933389,-0.7547952355177049,3
S320U,-0.8318017273986537,-0.7871654853523835,-0.7686738979635266,-0.6627501998885861,-0.6346181397603778,-0.5570021155209467,-0.6130576548084381,-0.6642786914060907,-0.656508316288387,-0.6681473472016096,-0.686370496882108,-0.7032718260057291,-0.7185824301031225,-0.7356118787699428,-0.7537950767565933,3
S332U,-0.8318017273986537,-0.8047285003500763,-0.6851235234350337,-0.6843134461410079,-0.6380978981125592,-0.698589098943108,-0.6893241094153164,-0.666802443661193,-0.6209392719806942,-0.6536791198343228,-0.6714195245354688,-0.6944944133798063,-0.6947290926297043,-0.7088854246370674,-0.725337853686931,3
S380U,-1.0,-0.8148866243412671,-0.8024083815438288,-0.7056492047069576,-0.691358887231322,-0.6255348758702121,-0.6485519345073454,-0.6769990450237773,-0.7029504322745668,-0.7245834751028748,-0.7380852350772852,-0.7470505940793797,-0.75439774262818,-0.7619117914380442,-0.7720951125775791,3
S382U,-0.8584305368831882,-0.8250585070289487,-0.6926161138947353,-0.6819371453411853,-0.6122253382575118,-0.6207951621199874,-0.6169718436838597,-0.6163278527819321,-0.6261210758525092,-0.6605908658830613,-0.6900109835073565,-0.7195386210503809,-0.7478692546274465,-0.769232406075985,-0.7832843672202634,3
S387U,0.4,-0.5597203547479357,-0.48670879567362724,-0.4728887879536943,-0.4547084267077679,-0.446488908549154,0.389450869759673,0.3616953480454385,-0.4807822119731802,-0.49042846661745,-0.5417759796922594,-0.5666756963258932,-0.5835447456209357,-0.5998178266281817,-0.6190819558338199,1
S412U,-0.6,-0.8055921636647958,-0.5901372865787888,-0.5755918262961447,-0.5138028548464213,-0.5555050284514396,-0.5945444019151205,-0.6242511240991931,-0.6921786336698134,-0.6683840993756638,-0.6051425111853953,-0.6363276991628966,-0.6553714600962219,-0.6772571351015286,-0.7037632742144719,3
S416U,-0.555935080585389,-0.5790451365359888,-0.518129099289756,-0.5584273940756834,-0.592954089937531,-0.6240843393686866,-0.6586279987156047,-0.6982989119797639,-0.7265359843078152,-0.7463039471536843,-0.763787453810657,-0.7769420355518281,-0.776276247370897,-0.7836121112312131,-0.7978283733102364,3
S420U,1.0,-0.4352491122620222,-0.3932363073771278,-0.46116547690051163,-0.49460207135555356,-0.5416971489309295,-0.588009994121037,-0.6215318086475844,-0.6473434302830332,-0.6694407119320052,-0.6896718997283351,-0.710454657478575,-0.7236229646221416,-0.7379361355246201,-0.7546689638623658,1
S428U,-0.6,-1.0,-0.632748222490007,-0.5948489326165168,-0.6027337562084868,-0.49527984997430136,-0.4912993586754958,-0.503352263815651,-0.5380311323162956,-0.5592114935239743,-0.5605583290977716,-0.559797236366558,-0.5992178289242466,-0.6408846674395519,-0.6843929408962337,3
S442U,-0.6,-0.8278968693520696,-0.7908479282492964,-0.6765668001836955,-0.6596560293896527,-0.5807773512671363,-0.614007613469558,-0.636622682054537,-0.663418568511372,-0.6880588347652593,-0.7093217463117483,-0.7242141042116657,-0.7411427406002918,-0.7499857769477768,-0.7597657688943417,3
S475U,0.11868494014049634,0.11868494014049634,0.5186849401404964,0.526056317036484,0.5518651198690474,0.49251131771212964,0.5238639142624543,0.47289236935768353,0.4012364070358063,-0.47852920446731795,-0.5702755631488194,-0.6308918679829878,-0.6800626659902735,-0.72276175798005,-0.7607631295634489,1
S491U,-0.8420736971781443,-0.8292654310266203,-0.6449240202863767,-0.5031010055080001,-0.48516632346831046,-0.5374040778521036,-0.581425017341159,-0.6290031566421321,-0.6746167455526562,0.42769659191405424,0.4097524375838716,0.5075071706275351,0.530188887777391,0.5851600207147869,0.6360948752995207,0
S501U,0.25269571062860374,0.25269571062860374,0.555935080585389,0.5896194963703227,0.5156112528184048,0.5520334373471166,0.5903068755582196,0.6230805336046592,0.6468395019423823,0.6684463446510021,0.6900724646012428,0.7089065945860884,0.7196217958663296,0.7326579021479595,0.7513924634709511,2
S507U,-0.6,-0.6,-1.0,0.4070338362482506,0.3615510322560163,0.4453800266870427,0.4978106115625802,0.5400855718678931,0.5729190867289234,0.6060180026796972,0.6371477202517964,0.6650848859391992,0.6879490624088815,0.7063203801352567,0.7154070479128614,0
S540U,0.2814793392243587,0.2814793392243587,0.6046119468418452,0.6225569292977804,0.6490834558379046,0.5898496281406123,0.6188381742655391,0.6374281287148942,0.6699446439939784,0.6846959122926164,0.6923982721164134,0.6959493165631814,0.7106863571301785,0.7525422359508118,0.7874707964558633,2
S543U,0.6351009875209419,0.554781499570097,0.56214133721146,0.5776627090387353,0.5623600164751541,0.564064465076912,0.5300409444339209,0.5027504544236581,0.4957307612162716,0.5073169085480339,0.5222390887273887,0.4917934494569631,0.5006954461596297,0.5290290148065616,0.5583746336561641,2
S548U,1.0,1.0,0.8099171182776579,0.7214247143496741,0.7056901082524385,0.623662556933551,0.6443450811327873,0.6622142854299915,0.6757138318518454,0.7013445864006981,0.719678427522927,0.7130851351894565,0.7165178282698148,0.7450366057345518,0.7737415989486474,2
S549U,1.0,0.8420736971781443,0.8358984787974868,0.7025475979203972,0.6832570557447228,0.5981497961849092,0.6194938730168033,0.6457637587954005,0.6783933902010356,0.707941658763387,0.7342444676074834,0.7608330552996191,0.7808074286393991,0.7888093606297335,0.7961637372047236,2
S553U,0.8055921636647958,0.8065662914448262,0.6663624926911959,0.5319555303679979,0.5259465457657403,0.5508943937810995,0.5844961620945626,0.6170772767774506,0.6497608259482397,0.6767503450837995,0.6943715340332005,0.7076141662080931,0.7279573677055663,0.7494290385783813,0.7535408980606687,2
S558U,1.0,1.0,1.0,0.7637167841499051,0.7389992338203732,0.6970226531615196,0.7269405969653893,0.7648672601605015,0.7990689442131123,0.8295811965927608,0.7965816851624775,0.7999187408624635,0.8132351387461154,0.8257101054900022,0.8496449191705322,2
S565U,-0.14213910888832731,-0.14213910888832731,-0.45803997258765417,0.2859765090368901,0.4086578197180433,0.4663503099834371,0.5070804142589541,0.5368400574410461,0.5788345072550738,0.617203899210343,0.6503135856750415,0.6860737835893658,0.5940378596360527,0.5813711613744704,0.570543825300345,0
S584U,1.0,0.8372174534007835,0.6450119165585679,0.6440872784840379,0.5561107165932595,0.5794994548870438,0.6049353552009212,0.6346031332427999,0.6587009504781126,0.6715698381966041,0.6846661453791045,0.6888314421231752,0.7126940954018468,0.7331029999484702,0.7603546422110823,2
S588U,-1.0,0.0,0.4349646581115994,0.4681002727713598,0.5156383438507056,0.5498303204297933,0.5786552368992302,0.6072498705546105,0.6314380472269563,0.6561974836568174,0.6658296580290012,0.6804519147032657,0.7085194356641703,0.7213971455673747,0.7378119064486515,0
S591U,0.6,0.6,0.8036160490115547,0.6890825156110864,0.666323890915384,0.6011346399607843,0.6292467604584103,0.5602747763691995,0.5499695661273049,0.5738786907988969,0.6087237512254645,0.640795588276192,0.6832761972030574,0.7045637080782086,0.7138872288467857,2
S595U,0.6,0.6,1.0,0.7134816797755386,0.7016179809773497,0.6827316206134006,0.5843074436519886,0.5187520532633103,0.4899095143677027,0.549970036596179,0.6037544847580579,0.6522786552281303,0.6984348112078193,0.6829162123014558,0.6819087084035266,2
S599U,-0.4991341742671085,-0.4023571537930768,0.37602987556348105,0.4695140395392202,0.4972777069071569,0.5222330583586258,0.5589819119132928,0.5831043950612919,0.5739134431908397,0.546226317489652,0.5174651323286401,0.5555911916683165,0.5880745536613309,0.6421484869466255,0.6891301643525495,0
S631U,1.0,0.6466061882740057,0.6039693231469254,0.512581646300889,0.5110828025648587,0.4606854292057788,0.49685249539797605,0.514346835979532,0.5418503363951831,0.5333856924318147,0.5318007981363573,0.5558376951018091,0.5945193683741474,0.6225394777589212,0.6492668411413979,2
S643U,1.0,0.6284859181980289,0.526271269109462,0.48523183054538777,0.5144027080921277,0.5479485018278466,0.5899527669264282,0.6239145053969231,0.6556689854660321,0.6730281148249416,0.6802439279464827,0.7018989712086396,0.7309431936897448,0.7575785285081421,0.7913892132167843,2
S668U,1.0,1.0,0.6688102529295878,0.6606416056405923,0.5876152372697743,0.607707259835695,0.6309149815643368,0.6568951288115152,0.6775394370485496,0.7029952131548198,0.7250526339234495,0.712977160944026,0.731747111844091,0.7574710040925094,0.7885596328942589,2
S679U,-1.0,0.5424343528740637,0.39693780814871904,0.41950358800434095,0.5069695661810711,0.5500452005495001,0.5907504698679438,0.5918304147592744,0.5752969707729657,0.5861726684099754,0.4826431385456154,0.4943529261948199,0.5992141413084608,0.5211782963481856,0.495703910153978,0
S763U,-1.0,-0.8420736971781443,-0.6209244663582727,0.4097306637632961,0.4348830616996371,0.4996997083762237,0.523783641889388,-0.41353562696555657,-0.5129816806427383,-0.5190665633752001,-0.5378331309136166,-0.5891008852738099,-0.6384801373188689,-0.5849706162375259,-0.5572856633094604,1
S773U,-1.0,0.6284859181980289,0.36361495923518106,0.40710120662405763,0.4791816101758362,0.5071052974953933,0.5357883594863512,0.5387365906548071,0.4720822229583227,0.43542971216541426,0.3840551117769467,0.3451657373692125,0.4147873962487236,0.479142839801433,0.5077996991811573,0
S784U,0.8278968693520696,0.8372174534007835,0.5235436593382927,0.5307831070233258,0.46837471721018675,0.49816633761692625,0.531015377746721,0.5574072652882607,0.5937159069782594,0.6338797276155533,0.6475773922175657,0.6703325123269062,0.6932390076246743,0.7194253602780246,0.7534663334701289,2
S792U,1.0,1.0,0.6232456144726206,0.5017633718850847,0.472650736253463,0.49661521703359046,0.5271268537320977,0.5596079850447203,0.5911237944200194,0.6136296450870764,0.6413909840712193,0.6638704219274036,0.7186484441340073,0.7174793923223757,0.7406571267016835,2
S804U,1.0,1.0,0.6764023493379574,0.6783948920020273,0.6033375066467446,0.6253324006582152,0.6473207216144128,0.6663772826663243,0.6899146908857462,0.7180704303303995,0.7377503362941698,0.720131852698737,0.7261877236722645,0.7350359040518398,0.7424503579892964,2
S890U,0.6,0.6,0.8372174534007835,0.707919412623986,0.6945595061054006,0.641931103614293,0.6736230713420492,0.6982882457947518,0.7252261338109154,0.7610454193532251,0.7646906486907097,0.7612964537764928,0.788236399626657,0.8150967466694079,0.8400007972000162,2
S953U,-0.8278968693520696,-0.8372174534007835,-0.49318440680013714,0.2937719417209449,0.2943115612612504,0.2759380706664168,0.3747366540824918,0.4494819541037499,0.5012426137062076,0.5434290647689364,0.5283128445087193,0.49245152596731695,0.5075033881075509,0.5473856616190974,0.5617951277750018,0
S958U,1.0,0.5877612497269304,0.5590564353342455,0.4834749572070743,0.5182854486018625,0.56015542276386,0.6066230071202315,0.6417340212222157,0.6734071154963484,0.694100551554159,0.7163721320688026,0.7230550719502727,0.7422463507812944,0.7543794931697316,0.7647093699768299,2
S979U,0.6,1.0,0.8530805229909972,0.6280286546662741,0.6037876680965958,0.5306964208362774,0.5681074122515071,0.5308146274868591,0.4818021199487121,0.49087531991439587,0.5057985173789018,0.5157523641120931,0.5394082478565511,0.597314434950055,0.6482909855150554,2
S981U,0.8278968693520696,0.8103207731478177,0.648613737814878,0.6512083335311011,0.5754069403196559,0.5808099984770047,0.5762800170204684,0.6113221590927262,0.6544295650044062,0.6831030591868424,0.7074915321285764,0.7435101043436614,0.7775363408353118,0.8082788551214982,0.8190288755732913,2
