,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,cluster_kmeans
S224V,-0.21380349614476746,-0.20618569992835628,-0.28869762781209646,-0.3318530717572553,-0.4054821864324287,-0.44565238361978476,-0.48331605351935564,-0.5599681393385109,-0.4636401101773737,-0.40004111561805505,0.2925190733219471,0.2524234166347105,-0.294774487181957,-0.37737824314581625,-0.4617220205315423,0
S341V,0.30396932332773474,-0.24357266722079063,-0.2693431366585357,-0.47641220707567145,0.37590929779057186,-0.46248920972710006,-0.4967773822037385,-0.6123286647172521,-0.6773152657049457,-0.7585542711598543,-0.6048483332176057,0.5067186266457555,-0.6377433866782712,0.3284394384536584,0.5046587381805078,0
S476V,0.5952263613604494,0.6869057686692712,0.750178600096772,0.7997409162961778,0.8403835820352472,0.8740676799391746,0.7791432513318327,0.7820202996101044,0.8225293411535621,0.8366739568051269,0.8811034958759294,0.8254767121031689,0.8304136542779533,0.8572700396129151,0.8607865254359826,1
S479V,-0.38558772500949134,-0.4168855771784057,-0.5011751790530763,-0.5674523723263006,-0.6051380882295581,-0.5819713211855732,-0.6252915679616347,-0.6720700384436757,-0.7146906146285152,-0.7372393451184959,-0.7651229901996691,-0.7906742849051103,-0.8022171055999736,-0.8008544150423527,-0.7992511889752723,2
S501V,-0.7726981635521507,-0.6892007238471537,-0.6885524879799,-0.6872275845387957,-0.7205619257027758,-0.7449430595679157,-0.760073568801759,-0.7780950415287715,-0.7942690835705889,-0.7926020626626449,-0.7838557490353032,-0.7824390492806571,-0.7845196113290014,-0.7913791093732132,-0.7929592145848181,2
S503V,-0.8141596443857574,-0.811126690333926,-0.76295180764806,-0.8012511555295132,-0.8376075599439579,-0.8685239783497427,-0.8802541794307985,-0.9015040336062399,-0.9163719721067668,-0.9063448812933963,-0.9153621216430876,-0.9156912850186805,-0.8911190184856854,-0.8985251776122161,-0.9200002632853063,2
S511V,-0.7562763344154315,-0.6547290448991725,-0.6795057724742286,-0.706268615478183,-0.7269075308075038,-0.7382599523211939,-0.7415609977915439,-0.7446987024364993,-0.7500882718831716,-0.7553856480535972,-0.7617680719381131,-0.7661023392957197,-0.7635725505548641,-0.7712058692638449,-0.7867986923291249,2
S512V,-0.7856083800143767,-0.8044235386039804,-0.7916057820631304,-0.7083156969907066,-0.7245214963728983,-0.7416331532501245,-0.7609855785265284,-0.7776804308521177,-0.7877684772791317,-0.789278202751663,-0.7875160456807402,-0.7828741022433024,-0.7862079753590114,-0.7916803769575137,-0.7904218821296365,2
S514V,-0.6621184744680704,-0.6907427089186435,-0.6697253997717257,-0.6977543703116326,-0.7141935711676299,-0.7283346724653346,-0.7395315295743197,-0.7484199067366091,-0.7593452393298475,-0.7546494646140649,-0.694036694715504,-0.7110521923808719,-0.7231696643848344,-0.7263294147676645,-0.69465111023064,2
S518V,-0.740254013881395,-0.7434449017840827,-0.6635420974485605,-0.699800933780746,-0.7234418618554572,-0.7374393501978928,-0.753872878845934,-0.7728485428876392,-0.7637454638018529,-0.7726760767037537,-0.8057286416618744,-0.8118511650459672,-0.8042600429174881,-0.7910636108415681,-0.7871419934003416,2
